,Gestational_Age,State,Race,month_care_began,num_births
321,2.0,36.0,2,5.0,52.0
322,2.0,36.0,2,6.0,17.0
323,2.0,36.0,2,99.0,48.0
324,2.0,36.0,3,0.0,27.0
325,2.0,36.0,3,1.0,66.0
326,2.0,36.0,3,2.0,296.0
327,2.0,36.0,3,3.0,206.0
328,2.0,36.0,3,4.0,75.0
329,2.0,36.0,3,5.0,40.0
330,2.0,36.0,3,6.0,15.0
331,2.0,36.0,3,99.0,60.0
332,2.0,37.0,2,0.0,48.0
333,2.0,37.0,2,1.0,48.0
334,2.0,37.0,2,2.0,147.0
335,2.0,37.0,2,3.0,109.0
336,2.0,37.0,2,4.0,56.0
337,2.0,37.0,2,5.0,20.0
338,2.0,37.0,2,6.0,23.0
339,2.0,37.0,2,99.0,21.0
340,2.0,37.0,3,0.0,43.0
341,2.0,37.0,3,1.0,62.0
342,2.0,37.0,3,2.0,140.0
343,2.0,37.0,3,3.0,99.0
344,2.0,37.0,3,4.0,55.0
345,2.0,37.0,3,5.0,24.0
346,2.0,37.0,3,6.0,16.0
347,2.0,37.0,3,99.0,23.0
348,2.0,38.0,3,2.0,15.0
349,2.0,38.0,3,3.0,12.0
350,2.0,39.0,2,0.0,49.0
351,2.0,39.0,2,1.0,24.0
352,2.0,39.0,2,2.0,111.0
353,2.0,39.0,2,3.0,71.0
354,2.0,39.0,2,4.0,63.0
355,2.0,39.0,2,5.0,35.0
356,2.0,39.0,2,6.0,23.0
357,2.0,39.0,2,99.0,38.0
358,2.0,39.0,3,0.0,58.0
359,2.0,39.0,3,1.0,39.0
360,2.0,39.0,3,2.0,194.0
361,2.0,39.0,3,3.0,139.0
362,2.0,39.0,3,4.0,74.0
363,2.0,39.0,3,5.0,38.0
364,2.0,39.0,3,6.0,25.0
365,2.0,39.0,3,7.0,10.0
366,2.0,39.0,3,99.0,51.0
367,2.0,40.0,0,2.0,10.0
368,2.0,40.0,2,2.0,23.0
369,2.0,40.0,2,3.0,15.0
370,2.0,40.0,3,0.0,31.0
371,2.0,40.0,3,1.0,30.0
372,2.0,40.0,3,2.0,62.0
373,2.0,40.0,3,3.0,69.0
374,2.0,40.0,3,4.0,24.0
375,2.0,40.0,3,5.0,15.0
376,2.0,40.0,3,99.0,33.0
377,2.0,41.0,3,0.0,10.0
378,2.0,41.0,3,1.0,16.0
379,2.0,41.0,3,2.0,84.0
380,2.0,41.0,3,3.0,46.0
381,2.0,41.0,3,4.0,18.0
382,2.0,41.0,3,5.0,13.0
383,2.0,42.0,2,0.0,51.0
384,2.0,42.0,2,1.0,21.0
385,2.0,42.0,2,2.0,78.0
386,2.0,42.0,2,3.0,86.0
387,2.0,42.0,2,4.0,32.0
388,2.0,42.0,2,5.0,24.0
389,2.0,42.0,2,99.0,49.0
390,2.0,42.0,3,0.0,49.0
391,2.0,42.0,3,1.0,31.0
392,2.0,42.0,3,2.0,171.0
393,2.0,42.0,3,3.0,149.0
394,2.0,42.0,3,4.0,65.0
